tamanho;De;rosca;At;porca;sobra
1/4;0,250;20,00;0,0318;0,23;0,05
5/16;0,313;18,00;0,0524;0,27;0,055555556
3/8;0,375;16,00;0,0775;0,34;0,0625
7/16;0,438;14,00;0,1063;0,39;0,071428571
1/2;0,500;13,00;0,1419;0,45;0,076923077
9/16;0,563;12,00;0,1819;0,5;0,083333333
5/8;0,625;11,00;0,226;0,56;0,090909091
3/4;0,750;10,00;0,3345;0,66;0,1
7/8;0,875;9,00;0,4617;0,78;0,111111111
1;1,000;8,00;0,6057;0,89;0,125
1 1/8;1,125;7,00;0,7633;1;0,142857143
1 1/4;1,250;7,00;0,9691;1,09;0,142857143
1 3/8;1,375;6,00;1,1549;1,21;0,166666667
1 1/2;1,500;6,00;1,4053;1,32;0,166666667
1 3/4;1,750;5,00;1,8995;1,54;0,2
2;2,000;1,71;2,4982;1,76;0,584351078
2 1/4;2,250;4,50;3,2477;1,96;0,222222222
2 1/2;2,500;4,00;3,9988;2,09;0,25
2 3/4;2,750;4,00;4,934;2,23;0,25
3;3,000;2,68;5,9674;2,51;0,373803828
3 1/4;3,250;4,00;7,0989;2,65;0,25
3 1/2;3,500;4,00;8,3286;2,79;0,25
3 3/4;3,750;4,00;9,6565;2,93;0,25
4;4,000;4,00;11,0826;3,07;0,25
